강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,,,수강인원,수강정원,강의평점
교양선택,전학년,3810046-01,살빼기 운동과 영양조절,,,3,,,25,100,3.5
교양선택,전학년,3810052-01,생활과 화학,,,3,,,7,100,0
교양선택,전학년,3810053-01,생활속에서 배우는 스페인어,,,3,,,2,100,0
교양선택,전학년,3810056-01,생활일본어,,,3,,,22,100,5
교양선택,전학년,3810071-01,실크로드를 따라서,,,3,,,4,100,0
교양선택,전학년,3810086-01,영화속의 법률사례,,,3,,,1,100,3
교양선택,전학년,3810093-01,인간과 운동,,,3,,,0,100,0
교양선택,전학년,3810196-01,광고와 카피,,,3,,,0,100,0
교양선택,전학년,3810204-01,몸매만들기와 보디빌딩,,,3,,,10,100,5
교양선택,전학년,3810217-01,성과 일상,,,3,,,0,100,0
교양선택,전학년,3810233-01,인간의 행동과 의식,,,3,,,0,100,0
교양선택,전학년,3810241-01,임상여성학,,,3,,,0,100,0
교양선택,전학년,3810255-01,테마로보는 유럽문화기행,,,3,,,0,100,0
교양선택,전학년,3810280-01,생활속의 안전,,,3,,,1,100,0
교양선택,전학년,3810283-01,식생활과건강,,,3,,,9,100,0
교양선택,전학년,3810301-01,힌두교와 인도문화,,,3,,,0,100,0
교양선택,전학년,3810302-01,C프로그래밍,,,3,,,2,100,0
교양선택,전학년,3810357-01,영어발음연습,,,3,,,0,100,0
교양선택,전학년,3810359-01,영화읽기,,,3,,,0,100,0
교양선택,전학년,3810374-01,호신술과자기방어,,,3,,,2,100,0
교양선택,전학년,3810410-01,문학과테마기행,,,3,,,0,100,0
교양선택,전학년,3810422-01,피부와생활건강,,,3,,,1,100,0
교양선택,전학년,3810448-01,푸드코디네이션개론,,,3,,,1,100,0
교양선택,전학년,3810464-01,건강다이어트요법,,,3,,,0,100,0
교양선택,전학년,3810468-01,범죄와범죄심리,,,3,,,5,100,0
교양선택,전학년,3810469-01,사례로배우는생활마케팅,,,3,,,3,100,0
교양선택,전학년,3810474-01,운동처방실제,,,3,,,0,100,0
교양선택,전학년,3810483-01,경찰과사회,,,3,,,1,100,0
교양선택,전학년,3810505-01,명상과마음경영,,,3,,,0,100,0
교양선택,전학년,3810506-01,뮤지컬영화감상과이해,,,3,,,2,100,0
교양선택,전학년,3810512-01,전통한옥의아름다움,,,3,,,0,100,0
교양선택,전학년,3810519-01,영화속와인이야기,,,3,,,2,100,0
교양선택,전학년,3810525-01,문화콘텐츠경영전략과사례,,,3,,,1,100,0
교양선택,전학년,3810534-01,테마가든과파티장식,,,3,,,0,100,0
교양선택,전학년,3810542-01,현대사회와회계,,,3,,,0,100,0
교양선택,전학년,3810552-01,생활속의심리학,,,3,,,1,100,5
교양선택,전학년,3810554-01,인문학과자기경영의만남,,,3,,,1,100,0
교양선택,전학년,3810557-01,지중해문화산책,,,3,,,0,100,0
교양선택,전학년,3810558-01,컴퓨터보안과활용,,,3,,,1,100,0
교양선택,전학년,3810562-01,한일관계의이해,,,3,,,0,100,0
교양선택,전학년,3810574-01,마음을 읽어주는 미술치료,,,3,,,28,100,0
교양선택,전학년,3810603-01,교양한자,,,3,,,1,100,0
교양선택,전학년,3810610-01,인간심리의이해,,,3,,,4,100,0
교양선택,전학년,3810615-01,문화콘텐츠와창의성,,,3,,,0,100,0
교양선택,전학년,3810623-01,생활속의수학,,,3,,,5,100,0
교양선택,전학년,3810626-01,C언어및실습,,,3,,,0,100,0
교양선택,전학년,3810633-01,항공우주학개론,,,3,,,0,100,0
교양선택,전학년,3810635-01,취업성공전략,,,3,,,0,100,0
교양선택,전학년,3810638-01,도시문화와디자인,,,3,,,1,100,0
교양선택,전학년,3810645-01,민법총칙,,,3,,,1,100,0
교양선택,전학년,3810646-01,TED로 배우는 영화 속 바이오 테크놀로지,,,3,,,51,100,0
교양선택,전학년,3810658-01,창의적 문제해결 TRIZ기본,,,3,,,0,100,0
교양선택,전학년,3810659-01,일본문화바로알기,,,3,,,2,100,0
교양선택,전학년,3810665-01,취업준비의 정석과 차별화,,,3,,,0,100,0
교양선택,전학년,3810674-01,인문학의 이해,,,3,,,0,100,0
교양선택,전학년,3810676-01,대학생핵심역량의 이해,,,3,,,0,100,0
