강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,단과대학,학과,수강인원,수강정원,강의평점
전공선택,1학년,6208003-01,경영학원론,김영기,"화02 ,03 ,04 [N14-307(56-307)]",3,경영대학,경영정보학과,52,60,2.88
전공필수,1학년,6208028-01,회계원리,이규진,"목06 ,07 ,08 [N14-406(56-406)]",3,경영대학,경영정보학과,56,60,4.84
전공필수,1학년,6208035-01,경영통계학,최상현,"화06 ,07 ,08 [N13-302(59-302)]",3,경영대학,경영정보학과,38,35,3.71
전공필수,2학년,6208005-01,계량경영학,이정환,"수02 ,03 ,04 [N14-404(56-404)]",3,경영대학,경영정보학과,50,60,4.14
전공선택,2학년,6208007-01,마케팅관리론,이제영,"목02 ,03 ,04 [N14-306(56-306)]",3,경영대학,경영정보학과,50,60,5
전공필수,2학년,6208019-01,재무관리,김류미,"화02 ,03 ,04 [N14-406(56-406)]",3,경영대학,경영정보학과,57,60,4.69
전공필수,2학년,6208033-01,데이터베이스시스템,조완섭,"수06 ,07 ,08 [N13-302(59-302)]",3,경영대학,경영정보학과,46,35,2.19
전공필수,2학년,6208076-01,비즈니스 프로세스 분석과 응용 소프트웨어 설계,이준영,"목06 ,07 ,08 [N13-302(59-302)]",3,경영대학,경영정보학과,31,45,0
전공필수,3학년,6208004-01,경영정보시스템,권순동,"화01 ,02 ,03 [N14-404(56-404)]",3,경영대학,경영정보학과,48,60,4.72
전공필수,3학년,6208039-01,생산관리,이형석,"목06 ,07 ,08 [N14-307(56-307)]",3,경영대학,경영정보학과,40,50,4.59
전공필수,3학년,6208040-01,정보통신경영,공희경,"금05 ,06 ,07 [N14-404(56-404)]",3,경영대학,경영정보학과,20,60,2.68
전공선택,3학년,6208042-01,ERP전략과 실천,김영렬,"목01 ,02 ,03 ,04 [N13-306(59-306)]",3,경영대학,경영정보학과,25,30,3.63
전공필수,3학년,6208069-01,프로그래밍언어,이준영,"화02 ,03 수02 ,03 [N13-302(59-302)]",3,경영대학,경영정보학과,22,35,4.25
전공선택,4학년,6208038-01,비즈니스 프로그래밍,박성택,"금10 ,11 ,12 ,13 [N13-306(59-306)]",3,경영대학,경영정보학과,12,30,0
전공선택,4학년,6208043-01,비즈니스 인텔리전스,조완섭,"월06 ,07 ,08 [N13-302(59-302)]",3,경영대학,경영정보학과,28,45,1.83
전공선택,4학년,6208046-01,e-비즈니스론,이정환,"화06 ,07 ,08 [N14-406(56-406)]",3,경영대학,경영정보학과,8,60,0
전공선택,4학년,6208047-01,정보보호관리,전효정,"월02 ,03 ,04 [N14-404(56-404)]",3,경영대학,경영정보학과,46,60,4
전공선택,4학년,6208050-01,경영프로세스통합,김영렬,"화01 ,02 ,03 [N13-306(59-306)]",3,경영대학,경영정보학과,2,30,2.67
전공선택,4학년,6208809-01,데이터 지식경영(캡스톤디자인),송대진,"월09 ,10 ,11 [N13-302(59-302)]",3,경영대학,경영정보학과,3,45,0
전공필수,1학년,6210001-01,회계원리,배기수,"월01 ,02 ,03 [N14-407(56-407)]",3,경영대학,경영학부,19,50,3.84
전공필수,1학년,6210001-02,회계원리,우소희,"화02 ,03 ,04 [N14-408(56-408)]",3,경영대학,경영학부,52,50,4.47
전공필수,1학년,6210001-03,회계원리,강수진,"금07 ,08 ,09 [N14-408(56-408)]",3,경영대학,경영학부,9,50,3.87
